H,Z
37.48,125.267761
37.52,122.775356
37.56,120.358388
37.6,118.012437
37.64,115.735478
37.68,113.528829
37.72,111.398635
37.76,109.358116
37.8,107.430886
37.84,105.655592
37.88,104.091845
37.92,102.826399
37.96,101.976138
38.0,101.824971
38.04,102.203474
38.08,103.298827
38.12,105.008276
38.16,107.038531
38.2,108.971071
38.24,110.420109
38.28,111.172821
38.32,111.217049
38.36,110.672872
38.4,109.704994
38.44,108.4655
38.48,107.071772
38.52,105.605475
38.56,104.119636
38.6,102.64685
38.64,101.206055
38.68,99.80743
38.72,98.45569
38.76,97.15224
38.8,95.896533
38.84,94.686928
38.88,93.521212
38.92,92.396923
38.96,91.31154
39.0,90.245536
39.04,89.232216
39.08,88.250553
39.12,87.298519
39.16,86.374232
39.2,85.475953
39.24,84.602075
39.28,83.751118
39.32,82.921713
39.36,82.112595
39.4,81.322591
39.44,80.550613
39.48,79.795646
39.52,79.056742
39.56,78.333014
39.6,77.623626
39.64,76.927787
39.68,76.24475
39.72,75.573801
39.76,74.914256
39.8,74.265461
39.84,73.626779
39.88,72.997594
39.92,72.377302
39.96,71.765311
40.0,71.158357
40.04,70.561495
40.08,69.971183
40.12,69.386836
40.16,68.807855
40.2,68.233631
40.24,67.663537
40.28,67.096926
40.32,66.533126
40.36,65.971433
40.4,65.411114
40.44,64.851398
40.48,64.29148
40.52,63.730518
40.56,63.167642
40.6,62.601967
40.64,62.032616
40.68,61.458765
40.72,60.879712
40.76,60.295001
40.8,59.704606
40.84,59.109245
40.88,58.510872
40.92,57.913456
40.96,57.324224
41.0,56.792103
41.04,56.272427
41.08,55.827753
41.12,55.507767
41.16,55.383826
41.2,55.54887
41.24,56.103621
41.28,57.117707
41.32,58.566381
41.36,60.279657
41.4,61.968991
41.44,63.34655
41.48,64.248368
41.52,64.664609
41.56,64.684397
41.6,64.42548
41.64,63.991805
41.68,63.459964
41.72,62.880907
41.76,62.286328
41.8,61.694914
41.84,61.117066
41.88,60.558097
41.92,60.02028
41.96,59.504125
42.0,58.996924
42.04,58.523721
42.08,58.069187
42.12,57.632056
42.16,57.211062
42.2,56.80499
42.24,56.412703
42.28,56.033152
42.32,55.665378
42.36,55.308513
42.4,54.961769
42.44,54.624434
42.48,54.295868
42.52,53.97549
42.56,53.662775
42.6,53.357249
42.64,53.058483
42.68,52.766086
42.72,52.479703
42.76,52.19901
42.8,51.923712
42.84,51.653538
42.88,51.388239
42.92,51.127588
42.96,50.871375
43.0,50.617648
43.04,50.369808
43.08,50.125862
43.12,49.885655
43.16,49.649045
43.2,49.415898
43.24,49.18609
43.28,48.959504
43.32,48.736031
43.36,48.515568
43.4,48.29802
43.44,48.083296
43.48,47.87131
43.52,47.661981
43.56,47.455234
43.6,47.250995
43.64,47.049197
43.68,46.849773
43.72,46.652663
43.76,46.457807
43.8,46.26515
43.84,46.074637
43.88,45.886217
43.92,45.699842
43.96,45.515465
44.0,45.332131
44.04,45.151634
44.08,44.973004
44.16,44.621193
44.24,44.276398
44.32,43.938343
44.4,43.60677
44.48,43.281438
44.56,42.962122
44.64,42.648612
44.72,42.34071
44.8,42.038229
44.88,41.740993
44.96,41.448837
45.04,41.160993
45.08,41.019182
45.12,40.878546
45.16,40.739067
45.2,40.600728
45.24,40.463513
45.28,40.327406
45.32,40.19239
45.36,40.05845
45.4,39.925571
45.44,39.793738
45.52,39.533153
45.6,39.276584
45.68,39.023922
45.76,38.775067
45.84,38.529918
45.92,38.288383
45.96,38.168942
46.0,38.049915
46.04,37.932207
46.08,37.815347
46.12,37.699326
46.16,37.584132
46.2,37.469755
46.24,37.356187
46.28,37.243416
46.32,37.131435
46.36,37.020232
46.4,36.909801
46.44,36.80013
46.52,36.583039
46.6,36.36889
46.68,36.157618
46.76,35.949157
46.84,35.743447
46.92,35.540427
46.96,35.439908
47.0,35.339688
47.04,35.240468
47.08,35.141884
47.12,35.043931
47.16,34.946602
47.2,34.84989
47.24,34.753789
47.28,34.658293
47.32,34.563395
47.36,34.469089
47.4,34.375369
47.44,34.282229
47.52,34.097666
47.6,33.915355
47.68,33.735249
47.76,33.557307
47.84,33.381486
47.92,33.207745
47.96,33.121642
48.0,33.035766
48.04,32.950671
48.08,32.866071
48.12,32.781963
48.16,32.69834
48.2,32.615199
48.24,32.532535
48.28,32.450344
48.32,32.368622
48.36,32.287363
48.4,32.206564
48.44,32.126221
48.52,31.966884
48.6,31.809321
48.68,31.653499
48.76,31.499386
48.84,31.346954
48.92,31.196173
48.96,31.121392
49.0,31.04679
49.04,30.972811
49.08,30.899227
49.12,30.826035
49.16,30.753231
49.2,30.680812
49.24,30.608774
49.28,30.537115
49.32,30.465831
49.36,30.394918
49.4,30.324375
49.44,30.254197
49.52,30.114927
49.6,29.977083
49.68,29.840642
49.76,29.705582
49.84,29.571879
49.92,29.439511
49.96,29.373822
50.0,29.308277
