t,Z
0.06252,7.360803227433612
0.06254,7.359796470403777
0.06256,7.358361858675973
0.06258,7.358532983969607
0.0626,7.357276696578613
0.06262,7.356209581508656
0.06264,7.355248070497163
0.06266,7.353188317430684
0.06268,7.3495173012652755
0.0627,7.347782729877093
0.06272,7.345633569067956
0.06274,7.342360326319771
0.06276,7.341249167670316
0.06278,7.339232883736299
0.0628,7.33567927376855
0.06282,7.331748802255177
0.06284,7.3294988235356815
0.06286,7.326416369641453
0.06288,7.323093663898976
0.0629,7.320229999019527
0.06292,7.317420314577264
0.06294,7.314971133326045
0.06296,7.313745317498286
0.06298,7.3115303630449855
0.063,7.309263965729939
0.06302,7.306900322973389
0.06304,7.306630459555135
0.06306,7.3042918531330905
0.06308,7.30300595394997
0.0631,7.301145914511816
0.06312,7.298962184564344
0.06314,7.297307711509289
0.06316,7.296463863455131
0.06318,7.295240992839745
0.0632,7.296337330271851
0.06322,7.296147542195681
0.06324,7.296913576198656
0.06326,7.296448092663359
0.06328,7.297196821273202
0.0633,7.297617877897116
0.06332,7.297514700496332
0.06334,7.298224117810964
0.06336,7.298990232234467
0.06338,7.29959629815819
0.0634,7.299773610344817
0.06342,7.298813042380505
0.06344,7.299791465662741
0.06346,7.298852631899229
0.06348,7.299057735698862
0.0635,7.298444639567173
0.06352,7.297853127069806
0.06354,7.2955879723949995
0.06356,7.295681066256156
0.06358,7.294517723553655
0.0636,7.292486798972623
0.06362,7.290355161241406
0.06364,7.288496202874748
0.06366,7.286224536398618
0.06368,7.28439282053003
0.0637,7.283875985776983
0.06372,7.2819957020428365
0.06374,7.280920208692929
0.06376,7.2793388108666495
0.06378,7.277948213953457
0.0638,7.274901229615421
0.06382,7.275028744276389
0.06384,7.2745560220425025
0.06386,7.273673424412944
0.06388,7.273656380872839
0.0639,7.272540486882507
0.06392,7.272299683626792
0.06394,7.27129168391285
0.06396,7.272034998827539
0.06398,7.272715254562244
0.064,7.271366737642765
0.06402,7.2711891184999295
0.06404,7.271614150353962
0.06406,7.270348735675799
0.06408,7.268915869968738
0.0641,7.267714213139023
0.06412,7.264876726001874
0.06414,7.262803958642159
0.06416,7.259969034105112
0.06418,7.257787879313861
0.0642,7.255163242109179
0.06422,7.25028446235041
0.06424,7.2462736499885025
0.06426,7.242131826702999
0.06428,7.237754059242012
0.0643,7.2332097068427865
0.06432,7.2297867595458065
0.06434,7.225115354399549
0.06436,7.221689532235591
0.06438,7.217678859967624
0.0644,7.215685360865459
0.06442,7.21322277056756
0.06444,7.210213121773667
0.06446,7.206126402311125
0.06448,7.2043176344728455
0.0645,7.204138329744594
0.06452,7.205525848930219
0.06454,7.206361563292355
0.06456,7.207348096697566
0.06458,7.207134730495106
0.0646,7.208833731973534
0.06462,7.208511626550125
0.06464,7.209606053291499
0.06466,7.209839953256922
0.06468,7.211115716210468
0.0647,7.214407370084728
0.06472,7.216302885672191
0.06474,7.218169028578873
0.06476,7.220011625834273
0.06478,7.2225736561732
0.0648,7.223014593459952
0.06482,7.2253969132590266
0.06484,7.225903067193568
0.06486,7.2247629077008595
0.06488,7.2235513070838575
0.0649,7.223856028391625
0.06492,7.2223046515869225
0.06494,7.220173124919929
0.06496,7.216236762912688
0.06498,7.213273663673041
0.065,7.210003160985674
0.06502,7.20728320013212
0.06504,7.202186903053208
0.06506,7.198579096280818
0.06508,7.194544644500803
0.0651,7.191015367410708
0.06512,7.188606627915579
0.06514,7.186773780947284
0.06516,7.186586785846091
0.06518,7.184720936932677
0.0652,7.183396775392137
0.06522,7.18423889587669
0.06524,7.185744476848045
0.06526,7.1865708501893
0.06528,7.187175723334941
0.0653,7.188598656094297
0.06532,7.188796244573098
0.06534,7.189752013130404
0.06536,7.190216899378689
0.06538,7.191565759512912
0.0654,7.108033475795423
0.06542,6.936793734276653
0.06544,6.803532254407729
0.06546,6.53612771876452
0.06548,6.416928855171516
0.0655,6.442294706897512
0.06552,6.424953299055544
0.06554,6.554302821927543
0.06556,6.672776944779493
0.06558,6.704626533749846
0.0656,6.7522867702017315
0.06562,6.81527371524567
0.06564,6.940545987014025
0.06566,7.042690150709287
0.06568,7.200272430750534
0.0657,7.154085581381066
0.06572,6.994830808006908
0.06574,6.929114641554018
0.06576,6.806803718447403
0.06578,6.732814677923286
0.0658,6.730040934884467
0.06582,6.709905154457745
0.06584,6.7205124425143605
0.06586,6.857946253703543
0.06588,6.835223187195493
0.0659,6.851863627273943
0.06592,6.926560888972876
0.06594,6.94030188612054
0.06596,7.03142493148431
